ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
300031511,"President","","","","Federal",110001,,9901,"Write-in",12/3/2024 1:26:02 PM,1,949,0.006056506117135,1148/1314
300031511,"President","Constitution","","","Federal",110001,,300046773,"Randall Terry",12/3/2024 1:26:02 PM,1,180,0.0011487577461373,1148/1314
300031511,"President","Democrat","","","Federal",110001,,300046768,"Kamala D Harris/Tim Walz",12/3/2024 1:26:02 PM,1,73970,0.472075613787646,1148/1314
300031511,"President","Libertarian","","","Federal",110001,,300046769,"Chase Oliver/Mike ter Maat",12/3/2024 1:26:02 PM,1,610,0.00389301236190975,1148/1314
300031511,"President","Pacific Green","","","Federal",110001,,300046771,"Jill Stein/Rudolph Ware",12/3/2024 1:26:02 PM,1,900,0.00574378873068651,1148/1314
300031511,"President","Progressive","","","Federal",110001,,300046774,"Cornel West",12/3/2024 1:26:02 PM,1,298,0.00190183226860509,1148/1314
300031511,"President","Republican","","","Federal",110001,,300046779,"Donald J Trump/JD Vance",12/3/2024 1:26:02 PM,1,77089,0.491981032733214,1148/1314
300031511,"President","We The People","","","Federal",110001,,300046766,"Robert F Kennedy Jr/Nicole Shanahan",12/3/2024 1:26:02 PM,1,2695,0.0171994562546668,1148/1314
300031513,"US Representative, 2nd District","","","","US Representative 2nd District",111002,,9901,"Write-in",12/3/2024 1:26:02 PM,1,0,0,351/370
300031513,"US Representative, 2nd District","Constitution","","","US Representative 2nd District",111002,,300046788,"Michael Kurt Stettler",12/3/2024 1:26:02 PM,1,0,0,351/370
300031513,"US Representative, 2nd District","Democrat, Progressive","","","US Representative 2nd District",111002,,300046786,"Dan Ruby",12/3/2024 1:26:02 PM,1,0,0,351/370
300031513,"US Representative, 2nd District","Republican","","","US Representative 2nd District",111002,,100066698,"Cliff Bentz",12/3/2024 1:26:02 PM,1,0,0,351/370
300031516,"US Representative, 5th District","","","","US Representative 5th District",111004,,9901,"Write-in",12/3/2024 1:26:02 PM,1,26,0.00090658670107047,164/247
300031516,"US Representative, 5th District","Democrat","","","US Representative 5th District",111004,,300046872,"Janelle S Bynum",12/3/2024 1:26:02 PM,1,8748,0.305031556190941,164/247
300031516,"US Representative, 5th District","Independent","","","US Representative 5th District",111004,,300046877,"Brett Smith",12/3/2024 1:26:02 PM,1,1493,0.0520589978730081,164/247
300031516,"US Representative, 5th District","Libertarian","","","US Representative 5th District",111004,,300046873,"Sonja Feintech",12/3/2024 1:26:02 PM,1,472,0.0164580354963562,164/247
300031516,"US Representative, 5th District","Pacific Green","","","US Representative 5th District",111004,,300046875,"Andrea Thorn Townsend",12/3/2024 1:26:02 PM,1,260,0.0090658670107047,164/247
300031516,"US Representative, 5th District","Republican","","","US Representative 5th District",111004,,100084017,"Lori Chavez-DeRemer",12/3/2024 1:26:02 PM,1,17680,0.616478956727919,164/247
300031517,"US Representative, 6th District","","","","US Representative 6th District",111005,,9901,"Write-in",12/3/2024 1:26:02 PM,1,218,0.00177960636413358,166/182
300031517,"US Representative, 6th District","Democrat, Independent","","","US Representative 6th District",111005,,100084021,"Andrea Salinas",12/3/2024 1:26:02 PM,1,61469,0.501791851362052,166/182
300031517,"US Representative, 6th District","Republican","","","US Representative 6th District",111005,,300046879,"Mike Erickson",12/3/2024 1:26:02 PM,1,60812,0.496428542273815,166/182
300031519,"Secretary of State","","","","Statewide Partisan",112006,,9901,"Write-in",12/3/2024 1:26:02 PM,1,119,0.000791244447990638,1148/1314
300031519,"Secretary of State","Democrat, Independent, Working Families","","","Statewide Partisan",112006,,300046886,"Tobias Read",12/3/2024 1:26:02 PM,1,70749,0.470418096225963,1148/1314
300031519,"Secretary of State","Pacific Green, Progressive","","","Statewide Partisan",112006,,300046884,"Nathalie Paravicini",12/3/2024 1:26:02 PM,1,5110,0.0339769674725392,1148/1314
300031519,"Secretary of State","Republican, Constitution","","","Statewide Partisan",112006,,300046881,"Dennis Linthicum",12/3/2024 1:26:02 PM,1,74418,0.494813691853507,1148/1314
300031520,"State Treasurer","","","","Statewide Partisan",112007,,9901,"Write-in",12/3/2024 1:26:02 PM,1,116,0.00077697475501852,1148/1314
300031520,"State Treasurer","Democrat","","","Statewide Partisan",112007,,300046919,"Elizabeth Steiner",12/3/2024 1:26:02 PM,1,61499,0.411923883266241,1148/1314
300031520,"State Treasurer","Republican, Constitution","","","Statewide Partisan",112007,,300046906,"Brian J Boquist",12/3/2024 1:26:02 PM,1,76724,0.513901819862422,1148/1314
300031520,"State Treasurer","Working Families, Pacific Green","","","Statewide Partisan",112007,,300046905,"Mary King",12/3/2024 1:26:02 PM,1,10958,0.0733973221163185,1148/1314
300031518,"Attorney General","","","","Statewide Partisan",112008,,9901,"Write-in",12/3/2024 1:26:02 PM,1,162,0.00108472215712401,1148/1315
300031518,"Attorney General","Democrat, Working Families","","","Statewide Partisan",112008,,300046924,"Dan Rayfield",12/3/2024 1:26:02 PM,1,69435,0.464923969011765,1148/1315
300031518,"Attorney General","Republican","","","Statewide Partisan",112008,,300046923,"Will Lathrop",12/3/2024 1:26:02 PM,1,79750,0.533991308831111,1148/1315
300031524,"State Senator, 9th District","","","","SD 09",113009,,9901,"Write-in",12/3/2024 1:26:02 PM,1,63,0.00122926829268293,69/77
300031524,"State Senator, 9th District","Democrat","","","SD 09",113009,,300046948,"Mike Ashland",12/3/2024 1:26:02 PM,1,16967,0.331063414634146,69/77
300031524,"State Senator, 9th District","Republican","","","SD 09",113009,,300046950,"Fred Frank Girod",12/3/2024 1:26:02 PM,1,34220,0.667707317073171,69/77
300031534,"State Senator, 29th District","","","","SD 29",113011,,9901,"Write-in",12/3/2024 1:26:02 PM,1,0,0,98/103
300031534,"State Senator, 29th District","Nonaffiliated","","","SD 29",113011,,300046978,"Tania Wildbill",12/3/2024 1:26:02 PM,1,0,0,98/103
300031534,"State Senator, 29th District","Republican, Democrat","","","SD 29",113011,,300046976,"Todd Nash",12/3/2024 1:26:02 PM,1,0,0,98/103
300031546,"State Representative, 11th District","","","","HD 11",114010,,9901,"Write-in",12/3/2024 1:26:02 PM,1,10,0.00440334654337296,2/53
300031546,"State Representative, 11th District","Nonaffiliated","","","HD 11",114010,,300046900,"Ivan Maluski",12/3/2024 1:26:02 PM,1,655,0.288419198590929,2/53
300031546,"State Representative, 11th District","Republican","","","HD 11",114010,,300046903,"Jami Cate",12/3/2024 1:26:02 PM,1,1606,0.707177454865698,2/53
300031550,"State Representative, 15th District","","","","HD 15",114011,,9901,"Write-in",12/3/2024 1:26:02 PM,1,2,0.000753863550697324,5/30
300031550,"State Representative, 15th District","Democrat","","","HD 15",114011,,300046914,"Terrence Virnig",12/3/2024 1:26:02 PM,1,816,0.307576328684508,5/30
300031550,"State Representative, 15th District","Republican","","","HD 15",114011,,300046916,"Shelly Boshart Davis",12/3/2024 1:26:02 PM,1,1835,0.691669807764795,5/30
300031552,"State Representative, 17th District","","","","HD 17",114012,,9901,"Write-in",12/3/2024 1:26:02 PM,1,49,0.00158243177781366,36/44
300031552,"State Representative, 17th District","Democrat","","","HD 17",114012,,300046926,"David W Beem",12/3/2024 1:26:02 PM,1,9773,0.315614403358631,36/44
300031552,"State Representative, 17th District","Republican","","","HD 17",114012,,300046932,"Ed Diehl",12/3/2024 1:26:02 PM,1,21143,0.682803164863556,36/44
300031553,"State Representative, 18th District","","","","HD 18",114013,,9901,"Write-in",12/3/2024 1:26:02 PM,1,32,0.00157032093434096,33/33
300031553,"State Representative, 18th District","Democrat","","","HD 18",114013,,300046943,"Karyssa Dow",12/3/2024 1:26:02 PM,1,6547,0.32127784866032,33/33
300031553,"State Representative, 18th District","Republican","","","HD 18",114013,,300046941,"Rick Lewis",12/3/2024 1:26:02 PM,1,13799,0.677151830405339,33/33
300031554,"State Representative, 19th District","","","","HD 19",114014,,9901,"Write-in",12/3/2024 1:26:02 PM,1,45,0.00141176470588235,12/12
300031554,"State Representative, 19th District","Democrat, Independent","","","HD 19",114014,,300046956,"Tom Andersen",12/3/2024 1:26:02 PM,1,17296,0.542619607843137,12/12
